曜,限,学期,年,クラス,科目名,担当者,講義コード,教室,受講対象/再履修者科目名,備考
金,4,前期集中,3,,インタフェースデザイン,柴田 博仁,yaz817001,,対象[23-23],
月,1,後期前半,1,,プログラミング基礎演習,髙橋　弘毅,yba811101,,対象[25-23],対開講(月1、月2)
月,1,後期後半,1,,情報編集入門,永盛　祐介,ybb083101,,対象[25-23],対開講(月1、月2)
月,1,後期後半,2,,データマイニング,小川　祐樹,ybb811102,,対象[24-23],対開講(月1、月2)
月,1,後期後半,3,,リスク＆クライシスマネジメント,未定,ybb811101,,対象[23-23],対開講(月1、月2)
月,2,後期前半,1,,プログラミング基礎演習,髙橋　弘毅,yba811101,,対象[25-23],対開講(月1、月2)
月,2,後期後半,1,,情報編集入門,永盛　祐介,ybb083101,,対象[25-23],対開講(月1、月2)
月,2,後期後半,2,,データマイニング,小川　祐樹,ybb811102,,対象[24-23],対開講(月1、月2)
月,2,後期後半,3,,リスク＆クライシスマネジメント,未定,ybb811101,,対象[23-23],対開講(月1、月2)
月,3,後期前半,2,,金融・市場システム論,塚本　憲弘,yba815303,,対象[24-23],対開講(月3、月4)
月,3,後期前半,3,,サプライチェーンデザイン演習,斎藤　文,yba812101,,対象[23-23],対開講(月3、月4)
月,3,後期後半,2,,Debate & Discussion,デトレフ　ラングマン,ybb811301,,対象[24-23],対開講(月3、木3)
月,4,後期前半,2,,金融・市場システム論,塚本　憲弘,yba815303,,対象[24-23],対開講(月3、月4)
月,4,後期前半,3,,サプライチェーンデザイン演習,斎藤　文,yba812101,,対象[23-23],対開講(月3、月4)
月,4,後期後半,1,,ソーシャルシステムデザイン入門,大久保　寛基、関　良明、吉川　玄徳、斎藤　文,ybb811401,,対象[25-23],対開講(月4、木4)
火,1,後期前半,2,,Reading Comprehension,成田　哲,yba812102,,対象[24-23],対開講(火1、金1) 
火,1,後期前半,2,,Presentation Strategies,中村　優子,yba812103,,対象[24-23],対開講(火1、金1)
火,1,後期前半,3,,Intercultural Understanding(2),塚越　俊志,yba812104,,対象[23-23],対開講(火1、火2)
火,1,後期後半,2,,English Test Preparation,中村　優子,ybb812102,,対象[24-23],対開講(火1、金1) 
火,1,後期後半,2,,Writing Strategies,成田　哲,ybb812103,,対象[24-23],対開講(火1、金1)
火,1,後期後半,3,,Intercultural Understanding(1),畑　和樹,yaa812101,,対象[23-23],対開講(火1、火2)
火,2,後期前半,1,,質的ユーザー調査,蓮池　公威,yba812201,,対象[25-23],対開講(火2、火3)
火,2,後期前半,2,,Academic Reading,ストーン　リチャード,yba812202,,対象[24-23],対開講(火2、金2)
火,2,後期前半,3,,Intercultural Understanding(2),塚越　俊志,yba812104,,対象[23-23],対開講(火1、火2)
火,2,後期後半,1,,量的ユーザー調査,未定,ybb812201,,対象[25-23],対開講(火2、火3)
火,2,後期後半,2,,Academic Presentation,ストーン　リチャード,ybb812202,,対象[24-23],対開講(火2、金2)
火,2,後期後半,3,,Intercultural Understanding(1),畑　和樹,yaa812101,,対象[23-23],対開講(火1、火2)
火,3,後期前半,1,,質的ユーザー調査,蓮池　公威,yba812201,,対象[25-23],対開講(火2、火3)
火,3,後期前半,2,,ウェブプログラミング,永野　朗夫,yba812302,,対象[24-23],対開講(火3、火4)
